,1,2,3,4,5,6,7,8,9,10,
symbols,"AAPL, AMZN, GME, NVDA, PH, HYG, FINV, XLK, SPY, QQQ, SPX","AAPL, AMZN, TSLA, JPM, EXPE, GME, GDX, SPY, IWM, SPX","AAPL, AMZN, TSLA, BIDU, CMCSA, IWM, ABNB, NFLX, SQ, SPY, QQQ, SPX","AAPL, AMZN, GME, NVDA, DD, FB, VIX, NDX, SPY, QQQ, SPX","AAPL, AMZN, TSLA, HYG, NDX, SPY, QQQ, SPX","AAPL, AMZN, TSLA, FB, ARKK, NFLX, XLB, CCL, SPY, QQQ, SPX","AAPL, AMZN, TSLA, NVDA, AVGO, T, XLE, STNE, TLT, XP, SPY, QQQ, SPX","AAPL, AMZN, TSLA, PLTR, SQ, NVCR, MDB, SPY, QQQ, SPX","AAPL, AMZN, TSLA, F, D, HYG, PAYC, SPY, NDX, SPX","AAPL, AMZN, GOOGL, TSLA, EXPE, W, NDX, SPY, QQQ, SPX", 
urls_url,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw,apple.co/2XZuTYw, 
urls_t.co,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,https://t.co/Jj64hrpqst,
urls_expanded_url,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw,https://apple.co/2XZuTYw, 
media_url,http://pbs.twimg.com/media/Ex5dBn7VcAgUSiJ.jpg,http://pbs.twimg.com/media/Ex1OQT-UYAY32jA.jpg,http://pbs.twimg.com/media/ExVvlFXVEAEX7aq.jpg,http://pbs.twimg.com/media/Ex5VTd0VIAAz-NO.jpg,http://pbs.twimg.com/media/Ex0vhmGVgAUjHgZ.jpg,http://pbs.twimg.com/media/ExWNbVKVcAEX823.jpg,http://pbs.twimg.com/media/ExqiXx3VgAI1iew.jpg,http://pbs.twimg.com/media/ExVe1ySVgAQg3aU.jpg,http://pbs.twimg.com/media/Exz_sRUVIAU4vIi.jpg,http://pbs.twimg.com/media/Ex1AbUrU8AQK_zJ.jpg, 
media_t.co,https://t.co/OSNyF7IMMO,https://t.co/6B6VywHei6,https://t.co/td4VkMmzFe,https://t.co/u5Ho2SjXUF,https://t.co/6B1xk4oAzp,https://t.co/dliIGSpqn6,https://t.co/U0ESUlPfqF,https://t.co/rHarFSfK9h,https://t.co/uL96t2oAZP,https://t.co/UThZjWgQIU, 
media_expanded_url,https://twitter.com/OptionsMaxPain/status/1377640824637288450/photo/1,https://twitter.com/OptionsMaxPain/status/1377343109810450432/photo/1,https://twitter.com/OptionsMaxPain/status/1375127950207590402/photo/1,https://twitter.com/OptionsMaxPain/status/1377632334548135942/photo/1,https://twitter.com/OptionsMaxPain/status/1377309321294344197/photo/1,https://twitter.com/OptionsMaxPain/status/1375160768388161536/photo/1,https://twitter.com/OptionsMaxPain/status/1376591170977984512/photo/1,https://twitter.com/OptionsMaxPain/status/1375109546805354504/photo/1,https://twitter.com/OptionsMaxPain/status/1377256729012932610/photo/1,https://twitter.com/OptionsMaxPain/status/1377327905391345670/photo/1, 
media_type,photo,photo,photo,photo,photo,photo,photo,photo,photo,photo,
ext_media_url,"http://pbs.twimg.com/media/Ex5dBn7VcAgUSiJ.jpg, http://pbs.twimg.com/media/Ex5dBskUcAQKSbN.jpg, http://pbs.twimg.com/media/Ex5dBy8UUAATczo.jpg, http://pbs.twimg.com/media/Ex5dB3UVcAA9j80.jpg","http://pbs.twimg.com/media/Ex1OQT-UYAY32jA.jpg, http://pbs.twimg.com/media/Ex1OQcUVoAEr2Vg.jpg, http://pbs.twimg.com/media/Ex1OQhNVIAA3Nln.jpg, http://pbs.twimg.com/media/Ex1OQlxUUAE5qEr.jpg","http://pbs.twimg.com/media/ExVvlFXVEAEX7aq.jpg, http://pbs.twimg.com/media/ExVvlK3VoAM1wsW.jpg, http://pbs.twimg.com/media/ExVvlQFU8AEfPEi.jpg, http://pbs.twimg.com/media/ExVvlUzVgAMRNpN.jpg","http://pbs.twimg.com/media/Ex5VTd0VIAAz-NO.jpg, http://pbs.twimg.com/media/Ex5VTjUU4Aca0FQ.jpg, http://pbs.twimg.com/media/Ex5VToNUcAggSuV.jpg, http://pbs.twimg.com/media/Ex5VTsZVgAYMGg6.jpg","http://pbs.twimg.com/media/Ex0vhmGVgAUjHgZ.jpg, http://pbs.twimg.com/media/Ex0vhs5UYAEOyQo.jpg, http://pbs.twimg.com/media/Ex0vhxSVIAEEfaM.jpg, http://pbs.twimg.com/media/Ex0vh2AU4AAX7Is.jpg","http://pbs.twimg.com/media/ExWNbVKVcAEX823.jpg, http://pbs.twimg.com/media/ExWNbZuVgAY8hL4.jpg, http://pbs.twimg.com/media/ExWNbeuUYAQFXB3.jpg, http://pbs.twimg.com/media/ExWNbmTVoAIHqpy.jpg","http://pbs.twimg.com/media/ExqiXx3VgAI1iew.jpg, http://pbs.twimg.com/media/ExqiX2pUcAQqkH1.jpg, http://pbs.twimg.com/media/ExqiX8CVoAAEIdN.jpg, http://pbs.twimg.com/media/ExqiYAPUYAUMsy9.jpg","http://pbs.twimg.com/media/ExVe1ySVgAQg3aU.jpg, http://pbs.twimg.com/media/ExVe158VIAY1TZ6.jpg, http://pbs.twimg.com/media/ExVe2AvUYAACYcJ.jpg, http://pbs.twimg.com/media/ExVe2F_UYAsb8M6.jpg","http://pbs.twimg.com/media/Exz_sRUVIAU4vIi.jpg, http://pbs.twimg.com/media/Exz_sZ5U4AwQhfN.jpg, http://pbs.twimg.com/media/Exz_sgsVIAAzUAp.jpg, http://pbs.twimg.com/media/Exz_slXVEAQY3Po.jpg","http://pbs.twimg.com/media/Ex1AbUrU8AQK_zJ.jpg, http://pbs.twimg.com/media/Ex1AbZPU8AESeLS.jpg, http://pbs.twimg.com/media/Ex1AbdgVIAEXqW5.jpg, http://pbs.twimg.com/media/Ex1AblxVoAAk9Rk.jpg", 
ext_media_t.co,"https://t.co/OSNyF7IMMO, https://t.co/OSNyF7IMMO, https://t.co/OSNyF7IMMO, https://t.co/OSNyF7IMMO","https://t.co/6B6VywHei6, https://t.co/6B6VywHei6, https://t.co/6B6VywHei6, https://t.co/6B6VywHei6","https://t.co/td4VkMmzFe, https://t.co/td4VkMmzFe, https://t.co/td4VkMmzFe, https://t.co/td4VkMmzFe","https://t.co/u5Ho2SjXUF, https://t.co/u5Ho2SjXUF, https://t.co/u5Ho2SjXUF, https://t.co/u5Ho2SjXUF","https://t.co/6B1xk4oAzp, https://t.co/6B1xk4oAzp, https://t.co/6B1xk4oAzp, https://t.co/6B1xk4oAzp","https://t.co/dliIGSpqn6, https://t.co/dliIGSpqn6, https://t.co/dliIGSpqn6, https://t.co/dliIGSpqn6","https://t.co/U0ESUlPfqF, https://t.co/U0ESUlPfqF, https://t.co/U0ESUlPfqF, https://t.co/U0ESUlPfqF","https://t.co/rHarFSfK9h, https://t.co/rHarFSfK9h, https://t.co/rHarFSfK9h, https://t.co/rHarFSfK9h","https://t.co/uL96t2oAZP, https://t.co/uL96t2oAZP, https://t.co/uL96t2oAZP, https://t.co/uL96t2oAZP","https://t.co/UThZjWgQIU, https://t.co/UThZjWgQIU, https://t.co/UThZjWgQIU, https://t.co/UThZjWgQIU", 
