"","datetime","price","date","time_stock","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","state"
"1",2021-04-12 03:00:00,0.196354076936172,2021-04-12,"03:00",-0.576932642480835,-0.485883845843647,-1.1458036224891,-0.273220218028459,-0.555859056743075,-0.620212649054004,-0.551771155841708,0.686239936719418,-0.480194798036431,-0.737244320323703,"close"
"2",2021-04-12 04:00:00,0.220502361725826,2021-04-12,"04:00",0.123192805265464,-0.454425120727832,-1.34402281456528,0.0222179078396774,-0.400471184062625,-0.516633347175331,-0.188647281210728,1.3055822695448,-0.422795419845487,-0.881373143740629,"close"
"3",2021-04-12 05:00:00,0.0949312808195847,2021-04-12,"05:00",-0.226869918607686,-0.548801296075275,0.737278702234549,-0.125501155094391,-0.0896954387017235,-0.697897125463009,-0.726070615664578,0.509284984483593,-0.0783991506998253,-0.400943732350878,"close"
"4",2021-04-12 06:00:00,0.196354076936172,2021-04-12,"06:00",0.273219686925385,-0.721824284212255,1.43104587450116,0.169936970773746,0.0138964764185769,-0.413054045296658,-0.479146380915512,1.12862731730898,0.265997118445837,-0.240800595220961,"close"
"5",2021-04-12 07:00:00,0.0852719669037147,2021-04-12,"07:00",-0.526923681927528,-0.816200459559698,0.340840318082201,-0.470178968607217,-0.607655014303226,-0.697897125463009,-0.798695390590774,0.243852556129856,-0.422795419845487,-0.657172751758745,"close"
"6",2021-04-12 08:00:00,0.181865106062373,2021-04-12,"08:00",-0.626941603034142,-0.800471097001791,-0.25381725814632,-0.470178968607217,-0.607655014303226,-0.82737125281135,-0.6970207056941,-0.110057348341793,-0.537594176227374,-0.721230006610712,"close"
"7",2021-04-12 17:00:00,-0.470138583258528,2021-04-12,"17:00",1.22338993743822,0.363501732283344,0.737278702234549,0.662333847220639,1.15340754274188,0.674528624429406,0.610225242977427,0.686239936719418,0.667792765782442,0.383757639585716,"close"
"8",2021-04-12 18:00:00,-0.45564961238473,2021-04-12,"18:00",1.57345266131137,0.221937469262178,1.23282668242498,1.10549103602284,1.20520350030203,1.14063548288343,1.06049884751984,0.155375080011944,0.208597740254893,0.399771953298707,"close"
"9",2021-04-12 19:00:00,-0.465308926300586,2021-04-12,"19:00",0.223210726372078,-0.12410850701178,0.142621126006028,0.416135408997192,0.324672221779478,0.389685544263056,0.421400828169317,0.509284984483593,-0.0209997725088817,0.0154284241869065,"close"
"10",2021-04-13 03:00:00,-0.581220693290971,2021-04-13,"03:00",-1.27705809022713,-0.86338854723342,-1.34402281456528,-1.35649334621163,-0.814838844543826,-1.06042468203836,-1.00204476038412,-1.08330958563883,-0.996789201754924,-0.753258634036695,"close"
"11",2021-04-13 04:00:00,-0.634346919828236,2021-04-13,"04:00",-0.977004326907291,-0.784741734443884,-1.24491321852719,-1.15953459563287,-0.866634802103977,-0.905055729220354,-1.14729431023651,-0.906354633403004,-0.824591067182093,-0.993473339731571,"close"
"12",2021-04-13 05:00:00,-0.653665547659962,2021-04-13,"05:00",0.173201765818771,-0.265672770032945,0.0435115299679406,-0.322459905673148,-0.193287353822024,-0.154105790599976,-0.551771155841708,-0.552444728931355,-0.0209997725088817,-0.641158438045753,"close"
"13",2021-04-13 06:00:00,-0.706791774197213,2021-04-13,"06:00",-1.0270132874606,-0.989223447696678,-0.749365238336755,-0.864096469764732,-1.12561458990473,-0.905055729220354,-1.24896899513319,-0.640922205049267,-1.05418857994587,-1.07354490829653,"close"
"14",2021-04-13 07:00:00,-0.528094466753707,2021-04-13,"07:00",-1.27705809022713,-0.989223447696678,-1.44313241060336,-1.50421240914569,-1.17741054746488,-1.29347811126538,-1.32159377005938,-1.34874201399257,-1.2263867145187,-1.1376021631485,"close"
"15",2021-04-13 08:00:00,0.128738879525109,2021-04-13,"08:00",-0.0768430369477646,-0.438695758169925,0.0435115299679406,-0.420939280962527,-0.245083311382174,-0.283579917948317,-0.406521605989316,-0.552444728931355,-0.422795419845487,-0.60912981061977,"close"
"16",2021-04-13 17:00:00,1.03671438761642,2021-04-13,"17:00",1.37341681909814,0.709547708557302,2.12481304676777,1.49940853718036,0.89442775494113,1.60674234133746,1.30742308226891,1.3055822695448,0.495594631209611,0.463829208150674,"close"
"17",2021-04-13 18:00:00,1.0029067889109,2021-04-13,"18:00",1.57345266131137,0.882570696694282,1.1337170863869,1.05625134837815,1.67136711834338,1.01116135553509,1.5252974070475,0.243852556129856,1.0121890349281,0.591943717854608,"close"
"18",2021-04-13 19:00:00,1.07535164327989,2021-04-13,"19:00",0.323228647478692,1.74768563737918,0.439949914120288,0.465375096641882,1.41238733054263,0.674528624429406,2.1934453363685,0.155375080011944,0.725192143973386,1.69693136405104,"close"
"19",2021-04-14 03:00:00,1.10915924198541,2021-04-14,"03:00",-1.27705809022713,-0.643177471422719,-1.34402281456528,-1.11029490798818,-1.28100246258518,-1.1122143329777,-0.784170435605534,-1.34874201399257,-1.28378609270964,-0.785287261462679,"close"
"20",2021-04-14 04:00:00,1.15745581156473,2021-04-14,"04:00",-1.27705809022713,-1.02068217281249,-1.24491321852719,-1.35649334621163,-1.22920650502503,-1.16400398391704,-0.958469895428405,-1.43721949011048,-1.39858484909153,-0.80130157517567,"close"
"21",2021-04-14 05:00:00,1.21541169505993,2021-04-14,"05:00",-1.12703120856721,-0.69036555909644,-1.04669402645102,-1.20877428327756,-1.12561458990473,-1.16400398391704,-0.711545660679339,-1.17178706175674,-0.881990445373036,-0.673187065471737,"close"
